"ID","Number","Nationwide number","Name","Original name","Sex","Year of birth","Nationality","Military/Civilian","Selection","Year of Selection","mission number","total number of missions","Occupation","Year of mission","Mission title","Ascend shuttle","In orbit","Descend shuttle","Hours/mission","Total hrs (sum)","Field21","EVA hrs/mission","Total EVA hrs"
682,292.00,184.00,"Precourt, Charles J., Jr.","Precourt, Charles J., Jr.","M",1955.00,"U.S.","Mil","NASA-13",1990.00,2.00,4.00,"pilot",1995.00,"STS-71","STS-71","STS-71","STS-71",235.00,932.00,0.00,0.00,0.00
683,292.00,184.00,"Precourt, Charles J., Jr.","Precourt, Charles J., Jr.","M",1955.00,"U.S.","Mil","NASA-13",1990.00,3.00,4.00,"commander",1997.00,"STS-84","STS-84","STS-84","STS-84",221.00,932.00,0.00,0.00,0.00
684,292.00,184.00,"Precourt, Charles J., Jr.","Precourt, Charles J., Jr.","M",1955.00,"U.S.","Mil","NASA-13",1990.00,4.00,4.00,"commander",1998.00,"STS-91","STS-91","STS-91","STS-91",235.00,932.00,0.00,0.00,0.00
685,293.00,185.00,"Harris, Bernard A., Jr.","Harris, Bernard A., Jr.","M",1956.00,"U.S.","Civ","NASA Astronaut Group 13",1990.00,1.00,2.00,"MSP",1993.00,"STS-55","STS-55","STS-55","STS-55",239.00,437.00,1.00,4.65,4.65
686,293.00,185.00,"Harris, Bernard A., Jr.","Harris, Bernard A., Jr.","M",1956.00,"U.S.","Civ","NASA Astronaut Group 14",1990.00,2.00,2.00,"MSP",1995.00,"STS-63","STS-63","STS-63","STS-63",198.00,437.00,0.00,0.00,4.65
687,294.00,5.00,"Walter, Ulrich","Walter, Ulrich","M",1954.00,"Germany","Civ","DLR-2/EAC",1987.00,1.00,1.00,"PSP",1993.00,"STS-55","STS-55","STS-55","STS-55",239.67,239.67,0.00,0.00,0.00
688,295.00,6.00,"Schlegel, Hans","Schlegel, Hans","M",1951.00,"Germany","Civ","DLR-2/EAC",1987.00,1.00,2.00,"PSP",1993.00,"STS-55","STS-55","STS-55","STS-55",240.00,546.00,0.00,0.00,6.75
689,295.00,6.00,"Schlegel, Hans","Schlegel, Hans","M",1951.00,"Germany","Civ","DLR-2/EAC",1987.00,2.00,2.00,"MSP",2008.00,"STS-122","STS-122","STS-122","STS-122",306.00,546.00,1.00,6.75,6.75
690,296.00,186.00,"Currie, Nancy J.","Currie, Nancy J.","F",1958.00,"U.S.","Mil","NASA- 13",1990.00,1.00,4.00,"MSP",1993.00,"STS-57","STS-57","STS-57","STS-57",240.00,999.00,0.00,0.00,0.00
691,296.00,186.00,"Currie, Nancy J.","Currie, Nancy J.","F",1958.00,"U.S.","Mil","NASA- 13",1990.00,2.00,4.00,"MSP",1995.00,"STS-70","STS-70","STS-70","STS-70",214.00,999.00,0.00,0.00,0.00
692,296.00,186.00,"Currie, Nancy J.","Currie, Nancy J.","F",1958.00,"U.S.","Mil","NASA- 13",1990.00,3.00,4.00,"MSP",1998.00,"STS-88","STS-88","STS-88","STS-88",283.00,999.00,0.00,0.00,0.00
693,296.00,186.00,"Currie, Nancy J.","Currie, Nancy J.","F",1958.00,"U.S.","Mil","NASA- 13",1990.00,4.00,4.00,"MSP",2002.00,"STS-109","STS-109","STS-109","STS-109",262.00,999.00,0.00,0.00,0.00
694,297.00,187.00,"Wisoff, Peter J. K.","Wisoff, Peter J. K.","M",1958.00,"U.S.","Civ","1990 NASA group",1990.00,1.00,4.00,"MSP",1993.00,"STS-57","STS-57","STS-57","STS-57",239.00,1064.15,1.00,5.83,19.88
695,297.00,187.00,"Wisoff, Peter J. K.","Wisoff, Peter J. K.","M",1958.00,"U.S.","Civ","1990 NASA group",1990.00,2.00,4.00,"MSP",1994.00,"STS-68","STS-68","STS-68","STS-68",269.00,1064.15,0.00,0.00,19.88
696,297.00,187.00,"Wisoff, Peter J. K.","Wisoff, Peter J. K.","M",1958.00,"U.S.","Civ","1990 NASA group",1990.00,3.00,4.00,"MSP",1997.00,"STS-81","STS-81","STS-81","STS-81",240.00,1064.15,0.00,0.00,19.88
697,297.00,187.00,"Wisoff, Peter J. K.","Wisoff, Peter J. K.","M",1958.00,"U.S.","Civ","1990 NASA group",1990.00,4.00,4.00,"MSP",2000.00,"STS-92","STS-92","STS-92","STS-92",309.00,1064.15,2.00,14.05,19.88
698,298.00,188.00,"Voss, Janice E.","Voss, Janice E.","F",1956.00,"U.S.","Civ","1990 NASA group",1990.00,1.00,5.00,"MSP",1993.00,"STS-57","STS-57","STS-57","STS-57",239.73,1199.81,0.00,0.00,0.00
699,298.00,188.00,"Voss, Janice E.","Voss, Janice E.","F",1956.00,"U.S.","Civ","1990 NASA group",1990.00,2.00,5.00,"MSP",1995.00,"STS-63","STS-63","STS-63","STS-63",198.47,1199.81,0.00,0.00,0.00
700,298.00,188.00,"Voss, Janice E.","Voss, Janice E.","F",1956.00,"U.S.","Civ","1990 NASA group",1990.00,3.00,5.00,"MSP",1997.00,"STS-83","STS-83","STS-83","STS-83",95.21,1199.81,0.00,0.00,0.00
701,298.00,188.00,"Voss, Janice E.","Voss, Janice E.","F",1956.00,"U.S.","Civ","1990 NASA group",1990.00,4.00,5.00,"MSP",1997.00,"STS-94","STS-94","STS-94","STS-94",396.80,1199.81,0.00,0.00,0.00
702,298.00,188.00,"Voss, Janice E.","Voss, Janice E.","F",1956.00,"U.S.","Civ","1990 NASA group",1990.00,5.00,5.00,"MSP",2000.00,"STS-99","STS-99","STS-99","STS-99",269.60,1199.81,0.00,0.00,0.00
703,299.00,76.00,"Tsibliyev, Vasili","Василий Васильевич Циблиев","M",1954.00,"U.S.S.R/Russia","Mil","TsPK-8",1987.00,1.00,2.00,"commander",1993.00,"14","Soyuz TM­17","Mir","Soyuz TM­17",4721.00,9159.87,5.00,14.22,19.18
704,299.00,76.00,"Tsibliyev, Vasili","Василий Васильевич Циблиев","M",1954.00,"U.S.S.R/Russia","Mil","TsPK-8",1987.00,2.00,2.00,"commander",1997.00,"23","Soyuz TM­25","Mir","Soyuz TM­25",4438.00,9159.87,1.00,5.22,19.18
705,300.00,4.00,"Haigneré, Jean-Pierre","Haigneré, Jean-Pierre","M",1948.00,"France","Mil","CNES-2/EAC",1985.00,1.00,2.00,"MSP",1993.00,"Soyuz TM-17 / Soyuz TM-16","Soyuz TM-17","Soyuz TM-17","Soyuz TM-16",496.00,5028.00,1.00,6.32,6.32
706,300.00,4.00,"Haigneré, Jean-Pierre","Haigneré, Jean-Pierre","M",1948.00,"France","Mil","CNES-2/EAC",1985.00,2.00,2.00,"flight engineer",1999.00,"27","Soyuz TM-29","Mir","Soyuz TM-29",4532.00,5028.00,0.00,0.00,6.32
707,301.00,189.00,"Newman, James H.","Newman, James H.","M",1956.00,"U.S.","Civ","NASA-13",1990.00,1.00,4.00,"MSP",1993.00,"STS-51","STS-51","STS-51","STS-51",236.00,1032.00,1.00,7.08,43.03
708,301.00,189.00,"Newman, James H.","Newman, James H.","M",1956.00,"U.S.","Civ","NASA-13",1990.00,2.00,4.00,"MSP",1995.00,"STS-69","STS-69","STS-69","STS-69",260.00,1032.00,0.00,0.00,43.03
709,301.00,189.00,"Newman, James H.","Newman, James H.","M",1956.00,"U.S.","Civ","NASA-13",1990.00,3.00,4.00,"MSP",1998.00,"STS-88","STS-88","STS-88","STS-88",283.00,1032.00,3.00,21.38,43.03
710,301.00,189.00,"Newman, James H.","Newman, James H.","M",1956.00,"U.S.","Civ","NASA-13",1990.00,4.00,4.00,"MSP",2002.00,"STS-109","STS-109","STS-109","STS-109",262.00,1032.00,2.00,14.57,43.03
